,Value
ticker,ENPH
name,"Enphase Energy, Inc."
market,stocks
locale,us
primary_exchange,XNAS
type,CS
active,True
currency_name,usd
cik,0001463101
composite_figi,BBG001R3MNY9
share_class_figi,BBG001V28NC6
market_cap,8590712249.25
phone_number,(707) 763-4784
address,"{'address1': '47281 BAYSIDE PARKWAY', 'city': 'FREMONT', 'state': 'CA', 'postal_code': '94538'}"
description,"Enphase Energy is a global energy technology company. The company delivers smart, easy-to-use solutions that manage solar generation, storage, and communication on one platform. The company's microinverter technology primarily serves the rooftop solar market and produces a fully integrated solar-plus-storage solution. Geographically, it derives a majority of revenue from the United States."
sic_code,3674
sic_description,SEMICONDUCTORS & RELATED DEVICES
ticker_root,ENPH
homepage_url,https://www.enphase.com
total_employees,2781
list_date,2012-03-30
branding,"{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/ZW5waGFzZS5jb20/images/2024-10-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/ZW5waGFzZS5jb20/images/2024-10-01_icon.jpeg'}"
share_class_shares_outstanding,132470000
weighted_shares_outstanding,132470505
round_lot,100
