,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-944000000.0,-479000000.0,-1233000000.0,849000000.0
Repurchase Of Capital Stock,-43000000.0,-252000000.0,-153000000.0,0.0
Repayment Of Debt,-7593000000.0,-7437000000.0,-5293000000.0,-4011000000.0
Issuance Of Debt,9279000000.0,11313000000.0,8065000000.0,4095000000.0
Issuance Of Capital Stock,630000000.0,115000000.0,592000000.0,151000000.0
Capital Expenditure,-2809000000.0,-2190000000.0,-1967000000.0,-447000000.0
Interest Paid Supplemental Data,1353000000.0,1138000000.0,877000000.0,872000000.0
Income Tax Paid Supplemental Data,194000000.0,112000000.0,71000000.0,70000000.0
End Cash Position,1141000000.0,998000000.0,900000000.0,607000000.0
Other Cash Adjustment Outside Changein Cash,0.0,-8000000.0,-5000000.0,-12000000.0
Beginning Cash Position,998000000.0,900000000.0,607000000.0,483000000.0
Effect Of Exchange Rate Changes,38000000.0,-28000000.0,-35000000.0,14000000.0
Changes In Cash,105000000.0,134000000.0,333000000.0,122000000.0
Financing Cash Flow,2596000000.0,3489000000.0,2143000000.0,-792000000.0
Cash Flow From Continuing Financing Activities,2596000000.0,3489000000.0,2143000000.0,-792000000.0
Net Other Financing Charges,1378000000.0,416000000.0,-211000000.0,-261000000.0
Cash Dividends Paid,-990000000.0,-915000000.0,-854000000.0,-769000000.0
Preferred Stock Dividend Paid,,,,-77000000.0
Common Stock Dividend Paid,-990000000.0,-915000000.0,-854000000.0,-769000000.0
Net Common Stock Issuance,587000000.0,-137000000.0,439000000.0,151000000.0
Common Stock Payments,-43000000.0,-252000000.0,-153000000.0,0.0
Common Stock Issuance,630000000.0,115000000.0,592000000.0,151000000.0
Net Issuance Payments Of Debt,1621000000.0,4125000000.0,2769000000.0,87000000.0
Net Short Term Debt Issuance,-65000000.0,249000000.0,-3000000.0,3000000.0
Net Long Term Debt Issuance,1686000000.0,3876000000.0,2772000000.0,84000000.0
Long Term Debt Payments,-7593000000.0,-7437000000.0,-5293000000.0,-4011000000.0
Long Term Debt Issuance,9279000000.0,11313000000.0,8065000000.0,4095000000.0
Investing Cash Flow,-4356000000.0,-5066000000.0,-2544000000.0,-382000000.0
Cash Flow From Continuing Investing Activities,-4356000000.0,-5066000000.0,-2544000000.0,-382000000.0
Net Other Investing Changes,182000000.0,234000000.0,741000000.0,381000000.0
Net Investment Purchase And Sale,-213000000.0,-422000000.0,162000000.0,-188000000.0
Sale Of Investment,431000000.0,70000000.0,220000000.0,257000000.0
Purchase Of Investment,-644000000.0,-492000000.0,-58000000.0,-445000000.0
Net Business Purchase And Sale,-1516000000.0,-2688000000.0,-1480000000.0,-128000000.0
Purchase Of Business,-1516000000.0,-2688000000.0,-1480000000.0,-128000000.0
Net PPE Purchase And Sale,-2809000000.0,-2190000000.0,-1967000000.0,-447000000.0
Purchase Of PPE,-2809000000.0,-2190000000.0,-1967000000.0,-447000000.0
Operating Cash Flow,1865000000.0,1711000000.0,734000000.0,1296000000.0
Cash Flow From Continuing Operating Activities,1865000000.0,1711000000.0,734000000.0,1296000000.0
Dividend Received Cfo,58000000.0,89000000.0,78000000.0,56000000.0
Change In Working Capital,475000000.0,-213000000.0,-714000000.0,-96000000.0
Change In Other Working Capital,-5000000.0,-26000000.0,83000000.0,-3000000.0
Change In Payables And Accrued Expense,-60000000.0,109000000.0,-282000000.0,-91000000.0
Change In Receivables,540000000.0,-296000000.0,-515000000.0,-2000000.0
Changes In Account Receivables,540000000.0,-296000000.0,-515000000.0,-2000000.0
Other Non Cash Items,-282000000.0,102000000.0,-136000000.0,388000000.0
Deferred Tax,-176000000.0,-150000000.0,-29000000.0,-213000000.0
Deferred Income Tax,-176000000.0,-150000000.0,-29000000.0,-213000000.0
Depreciation Amortization Depletion,1852000000.0,1583000000.0,1501000000.0,1367000000.0
Depreciation And Amortization,1852000000.0,1583000000.0,1501000000.0,1367000000.0
Depreciation,1852000000.0,1583000000.0,1501000000.0,1367000000.0
Operating Gains Losses,-678000000.0,162000000.0,100000000.0,-161000000.0
Earnings Losses From Equity Investments,-186000000.0,-96000000.0,-22000000.0,-27000000.0
Net Foreign Currency Exchange Gain Loss,-492000000.0,258000000.0,122000000.0,-134000000.0
Net Income From Continuing Operations,616000000.0,138000000.0,-66000000.0,-45000000.0
