,2024-09-30,2023-09-30,2022-09-30
Ordinary Shares Number,30715663.0,28569513.0,28569513.0
Share Issued,30715663.0,28569513.0,28569513.0
Total Debt,1931735.0,0.0,
Tangible Book Value,31607456.0,7008647.0,2109676.0
Invested Capital,31607456.0,7008647.0,2109676.0
Working Capital,27502873.0,6933647.0,2109676.0
Net Tangible Assets,31607456.0,7008647.0,2109676.0
Capital Lease Obligations,1931735.0,0.0,
Common Stock Equity,31607456.0,7008647.0,2109676.0
Total Capitalization,31607456.0,7008647.0,2109676.0
Total Equity Gross Minority Interest,31607456.0,7008647.0,2109676.0
Stockholders Equity,31607456.0,7008647.0,2109676.0
Retained Earnings,-17433781.0,-7282225.0,-1031824.0
Additional Paid In Capital,49038165.0,9288553.0,3139450.0
Capital Stock,3072.0,5002319.0,2050.0
Common Stock,3072.0,5002319.0,2050.0
Preferred Stock,0.0,0.0,0.0
Total Liabilities Net Minority Interest,3488714.0,225005.0,137771.0
Total Non Current Liabilities Net Minority Interest,1650383.0,0.0,0.0
Long Term Debt And Capital Lease Obligation,1650383.0,0.0,
Long Term Capital Lease Obligation,1650383.0,0.0,
Current Liabilities,1838331.0,225005.0,137771.0
Other Current Liabilities,770500.0,,
Current Debt And Capital Lease Obligation,281352.0,,
Current Capital Lease Obligation,281352.0,0.0,
Payables And Accrued Expenses,786479.0,225005.0,137771.0
Payables,786479.0,225005.0,137771.0
Dueto Related Parties Current,25000.0,35000.0,35000.0
Accounts Payable,761479.0,190005.0,102771.0
Total Assets,35096170.0,7233652.0,2247447.0
Total Non Current Assets,5754966.0,75000.0,0.0
Non Current Prepaid Assets,235235.0,0.0,
Non Current Deferred Assets,0.0,75000.0,0.0
Investments And Advances,2000000.0,0.0,
Net PPE,3519731.0,0.0,
Accumulated Depreciation,-106925.0,0.0,
Gross PPE,3626656.0,0.0,
Leases,1926656.0,0.0,
Land And Improvements,1700000.0,0.0,
Properties,0.0,0.0,
Current Assets,29341204.0,7158652.0,2247447.0
Prepaid Assets,833947.0,205857.0,117448.0
Cash Cash Equivalents And Short Term Investments,28507257.0,6952795.0,2129999.0
Cash And Cash Equivalents,28507257.0,6952795.0,2129999.0
Cash Financial,,6952795.0,2129999.0
